2025-11-07 22:48:16,137 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535896.137333}
2025-11-07 22:48:18,718 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535898.718763}
2025-11-07 22:48:19,283 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535899.2832153}
2025-11-07 22:48:19,865 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535899.864097}
2025-11-07 22:48:22,456 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535902.4551487}
2025-11-07 22:48:23,032 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535903.032373}
2025-11-07 22:48:23,584 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535903.5840878}
2025-11-07 22:48:26,147 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535906.147971}
2025-11-07 22:48:26,732 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535906.7329912}
2025-11-07 22:48:27,295 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535907.2956812}
2025-11-07 22:48:29,861 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535909.8603947}
2025-11-07 22:48:30,395 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535910.3944345}
2025-11-07 22:48:30,957 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535910.957042}
